ID da Dupla,Seção testada,Ferramenta,test_case_count,assertion_conformity,interaction_conformity,avg_assertions,total_locators,fragile_locator_rate,loc_class,css_outro,Xpath_relativo,smell_hard_coded,eslint_cy_wait_fixo,eslint_unsafe_chain,"eslint_unsafe_chain
",eslint_no_only_test,eslint_no_unsed_var,max-lines-per-function,max-statements,Linhas 
1.242,Exchange rates,Cypress,9,100%,100%,1.7,53,34%,28.3%,5.7%,,,,9,,,,,,137
,,Selenium,9,100%,100%,1.7,61,54%,24.6%,4.9%,8.2%,,,,,,1,1,,260
2.242,shippments,Cypress,9,100%,90%,1.7,48,90%,72.9%,16.7%,,,1,,,,,,,140
,,Selenium,9,90%,100%,1.5,84,55%,20.2%,7.1%,26.2%,,,,,,1,1,,138
3.242,Tax Rate,Cypress,9,100%,100%,1.2,70,37%,37.1%,,,2,,2,,,,,,36
,,Selenium,9,100%,100%,1.2,83,53%,24.1%,13.3%,3.6%,7,,,,,2,1,,374
4.242,Custumers,Cypress,10,100%,90%,3.27,55,31%,30.9%,,,5,24,4,,,,,,189
,,Selenium,10,100%,90%,0.91,71,62%,25.4%,19.7%,2.8%,6,,,,,1,1,,250
5.242,Attributes,Cypress,9,100%,100%,1.18,73,25%,24.7%,,,,,18,,,,,,272
,,Selenium,9,100%,100%,1.18,93,47%,24.7%,10.8%,1.1%,1,,,,,1,1,1,373
6.242,Orders,Cypress,10,100%,90%,2.45,75,1.3%,1.3%,,,4,,,,,,,,255
,,Selenium,10,100%,100%,2.45,90,40%,6.7%,21.1%,15.6%,4,,,,,,5,1,522
7.242,Catalog promotions,Cypress,9,100%,100%,1.2,61,43%,42.6%,,,2,,3,,,,,,193
,,Selenium,9,90%,100%,0.9,81,53%,34.6%,1.2%,4.9%,2,,,,,,1,,164
8.242,Options,Cypress,9,100%,90%,2.6,65,40%,40%,,,2,,12,,,,,,152
,,Selenium,10,100%,100%,1.91,81,54%,29.6%,1.2%,6.2%,,,,,,,1,,480
9.242,taxons,Cypress,11,100%,90%,01.08,62,34%,25.8%,8.1%,,4,,5,,,,,,255
,,Selenium,11,100%,100%,01.08,123,43%,10.6%,8.9%,,5,,,,,,1,,410
10.242,Locates,Cypress,18,100%,90%,1.58,72,42%,36.1%,5.6%,,5,,,,1,,,,209
,,Selenium,9,100%,80%,01.01,55,58%,32.7%,16.4%,3.6%,,,,13,,,1,1,197
11.242,tax-categories,Cypress,8,90%,70%,0.88,41,49%%,48.8%,,,,,6,,1,1,,,123
,,Selenium,9,100%,60%,01.11,44,66%,38.6%,22.7%,,1,,,,,,1,,123
12.242,Payments,Cypress,9,100%,50%,01.02,33,36%%,36.4%,,,,,,,,,,,83
,,Selenium,9,100%,70%,01.01,44,80%,29.5%,36.4%,,,,,,,1,1,,103
13.242,product review,Cypress,8,100%,35%,2.67,43,16%,16.3%,,,,,2,,,,,,133
,,Selenium,2,33%,70%,0.33,31,65%,25.8%,16.1%,12.9%,,,,,2,2,1,1,99
14.242,Products,Cypress,7,100%,42.9%,2.29,28,32%%,32%,,,3,,2,,,,,,110
,,Selenium,5,100%,80%,02.02,42,74%,21.4%,28.6%,19%,2,,,1,,1,1,,149
15.242,groups,Cypress,1,100%,0%,3,10,40%,40%,,,1,,,,2,,,,63
,,Selenium,1,100%,100%,1.38,68,44%,11.8%,5.9%,,,,10,,,,4,,450
16.242,Payment Methods,Cypress,10,100%,100%,1.82,23,30%,30%,,,,,,,,,,,101
,,Selenium,10,90%,20%,1.36,36,22.2%,8.3%,11.1%,,,,,,,,1,,149
17.242,countries,Cypress,9,100%,50%,01.03,67,31%,31%,,,,,4,,,,,,180
,,Selenium,4,100%,60%,0.80,28,44%,22.2%,5.6%,5.6%,,,,,,,2,,176
