ID da Dupla,Seção testada,"Na opinião de vocês, foi mais fácil implementar os casos de teste em qual framework?","Vocês utilizaram uma ferramenta de captura-replay, como o Cypress Scenario Recorder, para gerar os casos de teste em Cypress?","Caso vocês tenham utilizado uma ferramenta de captura-replay para o Cypress, foi necessário realizar correções nos casos de teste gerados? Desconsiderando a inclusão de asserções. ","Vocês utilizaram uma ferramenta de captura-replay, como o Selenium IDE, para gerar os casos de teste em Selenium?","Caso vocês tenham utilizado uma ferramenta de captura-replay para o Selenium, foi necessário realizar correções nos casos de teste gerados? Desconsiderando a inclusão de asserções. 
","Durante o desenvolvimento do casos de testes com Cypress vocês foram impactados por esse desafio?
","Durante o desenvolvimento do casos de testes com Selenium vocês foram impactados por esse desafio?
",Opnião,,
1.241,Customers  ,cypress,Não,,não,,Não,não,"Na nossa experiência, achamos o Cypress bem mais simples de usar em comparação ao Selenium por ter um código bem mais ""enxuto"" e uma interface gráfica para ajudar.",,
2.241,"Association types
",cypress,Não,,não,,Não,não,"Os testes com o Selenium são mais verbosos e um pouco mais dificeis de ler. Ao contrário disso, o testes com Cypress tem uma leitura mais fácil. O fato de um vídeo com os testes ja ficar gravado para verificar o que foi feito também é uma vantagem.",,
3.241,"Payment Methods
",cypress,Não,,não,,Sim,sim,"Após utilizarmos as duas ferramentas, nós sentimos uma maior facilidade em implementar os casos de teste com o Cypress, tanto na simplicidade do código quanto no ambiente de visualização dos testes. O Selenium apesar de também se mostrar interessante, ele apresenta uma maior dificuldade de implementação em relação ao Cypress.",,
4.241,Options  ,cypress,sim,sim,não,,Não,não,"O capture replay do Cypress é melhor que o do Selenium, mas é um pouco chato precisar usar scroll o tempo todo no Cypress. Cypress foi mais fácil tanto para ler quanto para escrever o código dos teste. Mas algo que sentimos falta em ambos foi a capacidade retornar ao estado inicial da aplicação após fazer os testes, pois tivemos que rodar o comando de cópia de dados do docker sempre que fazíamos um teste que envolvia uma requisição post. Em geral, gostamos da experiência com as duas ferramentas, e consideramos usar o Cypress futuramente em nossos projetos.",,
5.241,shipping-methods,cypress,Não,,sim,Sim,Não,sim,"O Selenium deu a impressão de maior legibilidade, enquanto o Cypress parece mais conciso. No que precisamos ver da api, encontramos rapidamente em ambos. O Selenium parece mais suscetível a problemas inesperados.",,
6.241,"Payments 
",cypress,Não,,não,,Não,não,"Para implementar testes com Cypress foi interessante porque ele é muito fácil de ser implementado, além de que ele oferece recursos para executar um ou vários casos de teste. 
O Selenium foi bem mais complexo de desenvolver, muito verborrágico e o problema do tempo entre a execução dos scripts dificultou bastante a estabilidade dos testes que dependiam da velocidade com que o site respondia para que saísse de forma correta.
A diferença, além da interface do Cypress, está na facilidade que tivemos em desenvolver no cypress",,
7.241,Groups,cypress,Não,,não,,Não,sim,"Nós achamos o Cypress menos verboso e mais intuitivo comparado ao Selenium, além de o Cypress aparentar ser mais completo para testes do que o Selenium, pois o Cypress gera um relatório mais detalhado dos testes além de gerar vídeo e screenshots.",,
8.241,products,cypress,sim,sim,não,,Sim,sim,O cypress no geral provê uma experiência de desenvolvimento superior. Ele possui uma API mais simples e intuitiva e uma robusta interface gráfica para acompanhar a execução dos testes,,
9.241,catalog-promotions ,cypress,Não,,não,,Sim,sim,"Achamos a sintaxe do Cypress mais intuitiva que a do Selenium, além da interface de usuário do Cypress ser mais interessante. Ou seja, implementar os testes com Cypress foi mais fácil, e até interessante para quem não é da área de desenvolvimento, muito menos de testes de interface.",,
10.241,Countries,cypress,sim,sim,não,,Não,sim,Cypress é bem mais simples de setar e utilizar.,,
11.241,Locales ,cypress,Não,,não,,Não,sim,"O que nós gostamos no cypress foi a facilidade de uso e a simplicidade dos códigos. É um framework bem menos verborrágico do que o Selenium. Tivemos alguns problemas com a configuração do ambiente sobretudo quando utilizamos Selenium, o que foi o maior ponto negativo desse framework.",,
12.241,product-reviews,cypress,sim,sim,não,,Sim,sim,"O Cypress se destacou pela configuração simples e interface gráfica intuitiva, facilitando a visualização e depuração dos testes. Ele executou os testes rapidamente ao operar diretamente no navegador, com acesso direto ao DOM e aos eventos da página, o que proporcionou controle preciso e previsível. No entanto, o Cypress possui alguns desafios em cenários que envolvem múltiplas janelas ou abas do navegador.

O selenium parece ser um pouco mais verboso que o cypress. Há casos em que simples métodos do cypress resolve o caso de teste e no selenium é necessário você escrever um pouco mais de código. Fora isso, os frameworks são bem similares.",, 
13.241,attributes,cypress,Não,,sim,Sim,Não,sim,"O Cypress é mais intuitivo e fácil de usar, com uma API clara que facilita a escrita de testes. No entanto, sua configuração requer múltiplas pastas e arquivos, o que pode complicar projetos menores. Já o Selenium é mais flexível e tem uma configuração mais leve, além de lidar melhor com requisições de forma implícita, sem precisar de muitas esperas manuais. O Cypress se destaca nos relatórios de erros, que são mais claros e detalhados, mostrando as linhas de código afetadas. O Selenium, por outro lado, oferece menos suporte visual e exige mais esforço para depurar erros.",,
14.241,Shipments ,selenium,Não,,não,,Sim,sim,"Nós achamos que o Selenium em termos de produtividade foi superior ao cypress, principalmente na velocidade de execução dos testes, achamos o cypress muito lento e acreditamos que o seu uso no dia da dia não deva ser muito interessante, embora a sintaxe seja mais familiar para quem desenvolve para web há mais tempo.",,
15.241,Currencies,cypress,sim,sim,não,,Não,não,"Percebemos que tivemos maior dificuldade para configurar o selenium, o cypress conseguimos utilizar de forma mais simples e o consideramos mais facil de lidar",,
16.241,tax-categories,cypress,sim,sim,não,,Sim,não,"As ferramentas são úteis e boas, só gostaríamos que o prazo de entrega fosse maior, teria dado para aprender mais. Tudo no fim de período fica mais apertado  ",,
17.241,Zones ,cypress,sim,sim,não,,Sim,não,Foi uma experiencia nova e construtiva para o nosso aprendizado.,,
18.241,cart promotions,cypress,Não,,não,,Sim,não,Não conseguimos usar o selenium,,
