ID da Dupla,Seção testada,"Na opinião de vocês, foi mais fácil implementar os casos de teste em qual framework?","Vocês utilizaram uma ferramenta de captura-replay, como o Cypress Scenario Recorder, para gerar os casos de teste em Cypress?","Caso vocês tenham utilizado uma ferramenta de captura-replay para o Cypress, foi necessário realizar correções nos casos de teste gerados? Desconsiderando a inclusão de asserções. ","Vocês utilizaram uma ferramenta de captura-replay, como o Selenium IDE, para gerar os casos de teste em Selenium?","Caso vocês tenham utilizado uma ferramenta de captura-replay para o Selenium, foi necessário realizar correções nos casos de teste gerados? Desconsiderando a inclusão de asserções. 
","Durante o desenvolvimento do casos de testes com Cypress vocês foram impactados por esse desafio?
","Durante o desenvolvimento do casos de testes com Selenium vocês foram impactados por esse desafio?
",Opnião
1.222,Custumers,cypress,Não,,não,,Sim,sim,"Foi uma experiência nova e muito desafiadora, porém muito interessante. De longe, o maior problema foi o problema da sincronização, várias vezes apenas poucos testes falhavam por não encontrarem elementos que em execuções anteriores foram encontrados. A quantidade de inconsistências foi reduzida quando adicionamos um grande número de sleep/wait nos testes antes de ações que renderizavam muitas coisas na página."
2.222,Tax Categories,cypress,Não,,não,,Sim,sim,"O selenium fornece uma opção para definir o timeout default para os testes, coisa que não tem no cypress, fazendo com que vários casos de teste falhassem quando executados sequencialmente. Porém, em ambos, é necessário executar algumas vezes para os testes poderem rodar, dado que em certas execuções há uma demora de resposta do servidor, além de gerar erros de não encontrar os elementos mesmo existindo, por este motivo, aconselhamos (principalmente no cypress) executar cada teste individualmente.

No mais, achamos os dois frameworks com sintaxes parecidas e de fácil aprendizado."
3.222,Optinos,cypress,Não,,não,,Sim,sim,"o cypress foi muito mais intuitivo, sua sintaxe para nós foi muito mais simples de de adaptar, enquanto a do selenium era muito mais javascript e manipulação de html puro o que a principio nos trouxe ais dificuldades, principalmente por ter começado pelo cypress e depois ter ido para o selenium. mas em ambos tivemos bastantes inconsistencias, com vários testes hr falhando, hora funcionando e não apenas nossos testes, mas a própria configuração de login, before each, algumas vezes dava problema e era apontado um caso de teste falho e ao rodar novamente sem nenhuma alteração funcionava normalmente. acredito que o pode justificar tal inconsistência pode ser o caso relatado acima, mas como os 2 membros de nossa dupla estavam doentes e não pudemos ir a aula de explicação do exercício talvez tenhamos deixado passar isso e sofremos um pouco mais com esses problemas. inclusive, eu estava para destacar em algum campo de comentário que talvez nosso testes apresentassem essa inconsistencia, mas ao rodar novamente, todos os testes passariam."
4.222,associations-type,cypress,sim,sim,não,,Não,sim,"A perspectiva da nossa equipe ao utilizar o Cypress e o Selenium foi que o Cypress ofereceu uma experiência muito melhor no desenvolvimento dos casos de teste. A interface amigável e a facilidade de manipular uma página na web foram aspectos positivos significativos. A visualização dos erros e a possibilidade de acompanhar passo a passo dos testes realizados foram recursos valiosos para facilitar a depuração e o entendimento do fluxo dos testes.

Por outro lado, o Selenium se destacou por sua velocidade de execução dos testes. Comparativamente, o Selenium foi mais rápido em executar os casos de teste. No entanto, o ferramental para manipular a página na web usando o Selenium é mais complicado. Além disso, a visualização dos erros no Selenium foi considerada pouco útil, o que dificultou a identificação e a resolução de problemas durante a execução dos testes.

Em resumo, o Cypress se destacou por sua interface amigável, facilidade de manipulação da página na web e recursos de visualização de erros e acompanhamento dos testes. Embora seja mais lento na execução dos testes, essas vantagens foram consideradas valiosas para o processo de desenvolvimento. Já o Selenium se mostrou mais rápido na execução dos testes, mas a complexidade do ferramental e a falta de recursos úteis para visualização de erros foram aspectos negativos que impactaram sua usabilidade."
5.22,Payments,cypress,Não,,não,,Não,sim,"# Diferenças
- [PRO Cypress] Consideramos que a forma de implementação dos testes fica mais sucinta e simples no Cypress. Com o uso dos utilitários da Testing Library para o Cypress (https://testing-library.com/docs/cypress-testing-library/intro), os testes ficaram bem intuitivos e de fácil entendimento. No Selenium, a implementação dos testes acaba ficando em mais baixo nível e verbosa.
- [PRO Cypress] O Cypress conta com uma ótima interface e sua execução visual + tooling é bem mais robusta, permitindo o rollback dos testes e inspeção em tempo real de valores/elementos encontrados nas telas (ao contrário do selenium, que simplesmente quebra e fecha instantaneamente ao não encontrar um elemento, sem dar muita exposição ao desenvolvedor do porquê o elemento não foi encontrado).
- [CONTRA Selenium] O Selenium também trabalha com async/await, que pode ser ponto de erro para programadores menos experientes. Também, isto leva a código menos explícito e erros menos claros (ex.: é necessário atribuir o valor do await findElements a uma variável, para só depois acessar seu length).
- [CONTRA Selenium] O Selenium também não se dá muito bem com elementos animados na tela, mesmo com o await. Por exemplo, o dropdown de limits no Sylius falhava de tempos em tempos, pois o Selenium continuava a execução sem aguardar a alteração do DOM. Foi necessária a utilização de sleep neste caso para garantir a execução determinística do teste.

# Dificuldades
- Tivemos certas dificuldades no Selenium para saber como interagir com os elementos da tela e fazer as asserções. Diferentemente do Cypress, o Selenium requer seletores e verificações em mais baixo nível. Em sistemas com mudanças frequentes de estilização ou layout, mas mantendo o mesmo comportamento, os testes do Selenium podem gerar falsas falhas.
- Sobre o sistema Sylius, a maior dificuldade foi a presença de erros imprevisíveis, principalmente de acesso negado, durante a execução dos testes. Muitos casos falham de tempos em tempos por problemas no Sylius, não nos testes em si."
6.22,Shipping categories,cypress,Não,,não,,Sim,sim,"Achamos que desenvolver no Cypress foi mais fácil. Além da interface gráfica, a API é bastante intuitiva. Quando tentamos passar nossos testes para o Selenium, encontramos algumas dificuldades pois a forma de implementar os seletores no Selenium é um pouco diferente.
Também tivemos problemas com o timeout do Cypress. Por algum motivo, em algumas execuções de testes o teste consumia bastante tempo e o usuário tinha que fazer login novamente. Não conseguimos identificar a causa disso. Tentamos aumentar o timeout, mas sem sucesso.
No selenium, ocorreu um erro similar, mas conseguimos resolver mudando o timeout no package.json. Também notamos que a execução no Selenium é um pouco mais rápida, isso facilitou um pouco.

Outra observação é que começar no Cypress parece ter sido a escolha correta, provavelmente iriamos ficar desestimulados se começássemos diretamente no Selenium."
7.22,Countries,cypress,Não,,não,,Sim,sim,"O Cypress possui funções já prontas que auxiliam e diminuem a quantidade de linhas de código necessária para realizar as ações, enquanto que com o Selenium é necessário mais instruções para a realização dos testes, entretanto para os dois, a construção dos testes se torna intuitiva após o entendimento. Alguns testes que funcionavam corretamente começam a falhar quando algum outro teste falha para os dois frameworks. A construção de testes provavelmente seria mais fácil se tivéssemos optado por utilizar as ferramentas de captura-replay. "
8.22,Payment methods,cypress,Não,,sim,Sim,Não,sim,"De maneira geral, o Cypress foi mais tranquilo de implementar porque achamos que a semântica dele foi a mais simples de entender e executar. O Selenium dependia muito de bibliotecas auxiliares para fazer certos testes em que não foi necessário no Cypress. A interface de execução do Cypress também era mais intuitiva e ajudava no tracking de erros dos testes. O principal lado negativo do Cypress em relação ao Selenium é o tempo de execução dos testes. O Cypress demorava bem mais para executá-lo. Porém, com o Selenium, tivemos problemas de Timeout em alguns casos de teste que exigiam interações mais longas com o sistema e tivemos que realizar algumas configurações manuais para fazê-los serem executados."
9.222,Produto,cypress,Não,,não,,Sim,sim,"A maior dificuldade no desenvolvimento do exercicio foi reproduzir o teste de criar produto do cypress pro selenium, onde no cypress eu consegui anexar uma imagem e no selenium não consegui por conta do seletor"
10.222,Cart Promotions,cypress,sim,sim,sim,Sim,Sim,sim,"Ambos foram ferramentas interessantes de aprender, mas o cypress parece ter uma curva de aprendizado maior que o tornará mais competitivo"
