ID da Dupla,Seção testada,Ferramenta,test_case_count,assertion_conformity,interaction_conformity,avg_assertions,total_locators,fragile_locator_rate,loc_class,css_outro,Xpath_relativo,smell_hard_coded,eslint_cy_wait_fixo,eslint_unsafe_chain,eslint_await_loop,eslint_no_only_test,eslint_no_unsed_var,max-lines-per-function,max-statements,linhas
1.241,Customers  ,Cypress,10,100%,100%,1,63,33%,33%,,,2,,24,,,,,,175
,,Selenium,10,100%,100%,1,73,47%,28.8%,4%,,2,,,,,,,,205
2.241,"Association types
",Cypress,10,100%,20%,1,39,23%,23%,,,,,,,,1,1,,85
,,Selenium,10,100%,60%,1,51,45%,17.6%,27.5%,,,,,,,,,,130
3.241,"Payment Methods
",Cypress,10,100%,100%,1,64,27%,27%,,,,,,,,,,,180
,,Selenium,10,100%,100%,1,81,46%,21%,8.6%,3.7%,,,,,,,,,174
4.241,Options  ,Cypress,10,100%,90%,2,85,28%,28%,,,,,,,,,,,168
,,Selenium,10,100%,100%,2,87,53%,33%,7%,,1,,,,,,,,225
5.241,shipping-methods,Cypress,10,100%,100%,1,64,34%,34%,,,,,4,,,,,,190
,,Selenium,10,100%,100%,1,74,43%,30%,3%,,,,,,,1,1,,295
6.241,"Payments 
",Cypress,10,100%,80%,1.1,51,73%,73%,,,,,1,,,,,,265
,,Selenium,10,90%,100%,0.9,78,63%,24%,22%,13%,,,,22,,,,,280
7.241,Groups,Cypress,10,100%,90%,3,98,0.08%,,,,9,,22,,,,,,255
,,Selenium,10,100%,100%,3,111,44%,7.2%,23.4%,,9,,,,,1,2,1,350
8.241,products,Cypress,10,100%,90%,1.4,43,37%,37%,,,3,,6,,,,,,115
,,Selenium,9,100%,100%,1,64,80%,39%,28%,12.5%,2,,,,,,1,,170
9.241,catalog-promotions ,Cypress,10,100%,80%,2.9,54,37%,37%,,,3,,,,,,,,270
,,Selenium,10,100%,100%,3,58,66%,38%,10%,10%,1,,4,,,,1,1,404
10.241,Countries,Cypress,10,100%,80%,1.1,83,34%,34%,,,,,,,,,,,140
,,Selenium,10,100%,100%,1.2,123,31%,18%,1.6%,9%,,,9,,,1,2,,285
11.241,Locales ,Cypress,9,100%,90%,1.44,42,33%,33%,,,,,,,,,,,145
,,Selenium,10,100%,90%,1.4,69,55%,26%,27.5%,,,4,,,,1,1,,253
12.241,product-reviews,Cypress,10,100%,100%,02.06,69%,28%,28%,,,7,,,,,,,,215
,,Selenium,10,100%,70%,01.07,57,65%,19%,35%,2%,,4,,,,1,1,,210
13.241,attributes,Cypress,11,100%,55%,1,51,33%,33%,,,1,,,,,,,,139
,,Selenium,11,100%,60%,1,69,49%,36.2%,,3%,1,,,,,,,,188
14.241,Shipments ,Cypress,9,100%,60%,1.44,29,59%,59%,,,,,,,,,,,75
,,Selenium,9,100%,90%,1.44,42,60%,33%,,17%,,,,,,1,1,,105
15.241,Currencies,Cypress,6,100%,33%,1.33,26,27%,27%,,,,,3,,,,,,65
,,Selenium,5,100%,100%,1.2,37,59%,30%,,16%,,,,,,1,1,,159
16.241,tax-categories,Cypress,9,90%,33%,1.11,36,31%,28%,2%,,,,2,,1,,,,89
,,Selenium,7,100%,43%,1,38,66%,26%,29%,,,,,,1,2,1,,200
17.241,Zones ,Cypress,10,100%,70%,1,52,40%,40%,,,,,4,,,,,,100
,,Selenium,10,100%,80%,1,68,50%,31%,,4.4%,,,,,,,1,,130
18.241,cart promotions,Cypress,5,100%,40%,1,23,43%,43%,,,,,,,,,,,90
,,Selenium,2,0%,0%,0,10,40%,30%,,,,,,,,,,,60
